`CASE IDENTIFICATION NUMBER',telephne,city,county,ethcode,centract,HIGH PERCENTAGE BLACK TRACT,SAMPLING FRAME,`PARTICIPATE IN 1984 ELECTION',REGISTRATION STATUS IN 1984,PARTY REGISTRATION STATUS OF INDIVI,`CONTRIBUTE $$ TO POLITICAL UNIT IN 84',`EXHIBIT STICKER OR POSTER IN 84',`POLI WORK ON CAMPAIGN 84',`ATTENDED POLITICAL RALLY 84',MICHIGAN PARTYID,`CMCATE OPINION TO ELECTED OFFICIALS',`CMCATE OPINION TO NEWSMEDIA',`WORKED WITH GROUP AGAINST PROBLEM',COMMUNITY ORGANIZATION PROBLEM,TYPE OF COMM. ORG. PROBLEM,RELIGIOUS AFFILIATION,EVANGELICAL PROTESTANTS,PROTESTANT DENOMINATION,`LEVEL OF EDUCATION COMPLETED',`MARITAL STATUS',`HAVE CHILDREN',`NUMBER OF CHILDREN',`NUMBER OF CHILDREN IN SCHOOL',`WILL CHILDREN GO TO COLLEGE',`MOST IMP SOURCE OF INCOME',`IMP INCOME-EARNER''S RELSHIP TO RESP',`RESPONDENT''S EMPLOYMENT STATUS IN 84',`RESPONDENT''S OCCUPATION',`RESPONDENT UNEMPLOYED IN 84',`RESPONDENT''S UNION MEMBERSHIP',`RELATIVE''S EMPLOYMENT STATUS IN 84',`RELATIVE''S OCCUPATION',`RELATIVE UNEMPLOYED IN 84',`RELATIVE''S UNION MEMBERSHIP',HEAD OF HOUSEHOLD EMPLOYMENT STATUS,HEAD OF HOUSEHOLD OCCUPATION,HEAD OF HOUSEHOLD UNEMPLOYED IN 84,HEAD OF HOUSEHOLD'S UNION MEMBERSHIP,`RACIAL GROUP -- RGROUP1',natnlity,ETHNIC IDENTIFICATION,ASIAN-AMERICAN GROUPS,HISPANIC GROUP ID,`BIGGEST PROBLEM OF USA',`SPECIAL PROBLEMS OF RGROUP1',`BIGGEST PROBLEM OF RGROUP1',`GOVT REQD TO SOLVE PROBLEM OF RGRP1',`GOVT LEVEL TO SOLVE PROBLEM OF RGRP1',`IF OTHER GRP TO SOLVE PROBLEM OF RGRP1',`ANY OTHER GROUP OF ID OR RGROUP2',`OTHER GROUP OF ID OR RGROUP2',`BIGGEST PROBLEM OF RGROUP2',`GOVT REQD TO SOLVE PROBLEM OF RGRP2',`GOVT LEVEL TO SOLVE PROBLEM OF RGRP2',`IF OTHR GRP TO SOLVE PROBLEM OF RGRP2',`GROUPS WITH FEWER OPPORTUNITIES',`GROUP WITH FEWER OPPORTUNITIES',`OTHER GROUP WITH FEWER OPPORTUNITIES',`OTHER GROUP WITH FEWER OPPORTUNITIES' 2,`OTHER GROUP WITH FEWER OPPORTUNITIES' 3,`GROUPS WITH MORE OPPORTUNITIES',`GROUP WITH MORE OPPORTUNITIES',`OTHER GROUP WITH MORE OPPORTUNITIES',`GROUPS WITH MORE OPPORTUNITIES' 2,`GROUPS WITH MORE OPPORTUNITIES' 3,`AMERICANS PREJUDICED TO RGROUP1',`PARTICULAR GROUP PREJUDICED TO RGROUP1',`PERSONAL EXPERIENCE OF DISCRIMINATION',`SITUATION OF DISCRIMINATION',`FUTURE AMOUNT OF PREJUDICE',`INCREASED MILITARY SPENDING',`EQUAL RIGHTS AMENDMENT',`TAX CREDIT FOR PAROCHIAL-PVT SCHOOL',`PRAYER IN PUBLIC SCHOOL',`INCREASED SPENDING ON WELFARE',`BAN FED SPENDING ON ABORTIONS',`BAN HANDGUNS',`DEATH PENALTY FOR MURDER',`AMNESTY FOR ILLEGAL IMMIGRATION',`USE OF EMPLOYER SANCTIONS',`BILINGUAL EDUCATION PROGRAMS',`BILINGUAL BALLOTS',`VIEWS ON ABORTION',`RESPONDENT''S COUNTRY OF BIRTH',`IF PARENTS BORN IN US',`COUNTRY OF FATHER''S BIRTH',`COUNTRY OF MOTHER''S BIRTH',`SOCIAL LINKS WITH COUNTRY OF ORIGIN',`MONEY SENT HOME TO CTRY OF ORIGIN',`INTENTION TO SETTLE IN US',yentry,`IF US CITIZEN YET',`STATE IN US WHERE RESPONDENT WAS BORN',`GENERATION ENTERING CALIFORNIA',`SOCIAL LINKS WITH STATE:ORIGIN IN US',`PRIMARY NON-ENGLISH LANGUAGE',`USED BALLOT OF OTHER LANGUAGE IN 1984',yyrborn,`HOME OWNER OR RENTER',`INCOME LEVEL',`PRESIDENTIAL VOTE CHOICE 84',`IMPORTANCE OF VOTING',`SEX OF RESPONDENT',`CO-OPERATION OF RESPONDENT',`INFORMATION LEVEL OF RESPONDENT',`SINCERITY OF RESPONDENT',IMMIGRANT GENERATION,NON-ENG PRIMARY LANG OR SPAN INTERVIEW,`SPANISH LANGUAGE INTERVIEWS',`PRIMARY LANG: NON-ENGLISH OR SPANISH'
650,213323,68,37,H,6031,0,HISPANIC SURNAME,NO,NOT REGISTERED,INAP,NO,NO,NO,NO,DK/NA,NEVER,NEVER,NO,0,INAP,PROTESTANT,EVANGELICAL,JEHOVAH'S WITNESSES,COMPLETED COLLEGE,MARRIED,YES,2 CHILDREN,2 CHILDREN,WILL GO,RESPONDENT,INAP,WORKING,CLERICAL,NO,NO,INAP,INAP,INAP,INAP,WORKING,CLERICAL,NO,NO,OTHER,MEXICAN,HISPANIC,INAP,MEXICAN,FAMILY RELATED,YES,RACE/ETH DISCRIMINA,GOVT ACTION REQD,ALL LEVELS OF GOVT,INAP,NO,INAP,INAP,INAP,INAP,INAP,YES,BLACKS,MEXI-AMS/HISPANICS,DK/NA,INAP,NO,INAP,INAP,INAP,INAP,DK/NA,INAP,NO,INAP,WON'T CHANGE MUCH,NO OPINION,FAVOR,FAVOR,OPPOSE,NO OPINION,OPPOSE,FAVOR,NO OPINION,FAVOR,NO OPINION,FAVOR,FAVOR,ALWAYS ONE'S CHOICE,U.S.,NO,MEXICO,MEXICO,INAP,INAP,INAP,100,INAP,CA,GRANDPARENTS,INAP,INAP,INAP,41,OWN,"$40,000-60,000",INAP,DK/NA,MALE,GOOD,AVERAGE,COMPLETELY SINCERE,NON-US BORN PARENTS,NO,ENG LANG INTERVIEWS,NO
651,415636,65,1,N,4096,HIGH PERCENTAGE BLACK,OTHER,NO,NOT REGISTERED,INAP,NO,NO,NO,NO,STRONG DEMOCRAT,NEVER,NEVER,YES,MISC NGHBRHOOD ISSUES,MISCELLANEOUS,CATHOLIC,NOT PROTESTANT,0,HIGH SCHOOL GRAD,SINGLE,NO,INAP,INAP,INAP,SOMEONE ELSE,DAD/ FATHER,INAP,INAP,INAP,INAP,WORKING,LABORER,NO,UNION,WORKING,LABORER,NO,UNION,OTHER,MEXICAN,HISPANIC,INAP,MEXICAN,POVERTY INEQUALITY,YES,HIGH COST OF LIVING,GOVT ACTION REQD,STATE GOVT,INAP,NO,INAP,INAP,INAP,INAP,INAP,YES,MEXI-AMS/HISPANICS,DK/NA,INAP,INAP,YES,BLACKS,DK/NA,INAP,INAP,SOME ARE,WHITES,NO,INAP,WON'T CHANGE MUCH,FAVOR,FAVOR,FAVOR,NO OPINION,FAVOR,NO OPINION,OPPOSE,NO OPINION,FAVOR,OPPOSE,FAVOR,FAVOR,ONLY IF RAPE/INCEST,U.S.,NO,MEXICO,MEXICO,INAP,INAP,INAP,100,INAP,CA,PARENTS,INAP,SPANISH,INAP,66,OWN,"$10,000-15,000",INAP,IMP IF INTEREST AFF,FEMALE,GOOD,AVERAGE,COMPLETELY SINCERE,NON-US BORN PARENTS,YES,ENG LANG INTERVIEWS,YES
652,213681,66,37,N,4604,HIGH PERCENTAGE BLACK,OTHER,YES,REGISTERED,DEMOCRAT,NO,NO,NO,YES,STRONG DEMOCRAT,SELDOM,FREQUENTLY,NO,0,INAP,PROTESTANT,EVANGELICAL,SEVENTH DAY ADVENTIST,SOME COLLEGE,WIDOWED,NO,INAP,INAP,INAP,RESPONDENT,INAP,RETIRED,INAP,INAP,TEACHERS'ASSO,INAP,INAP,INAP,INAP,RETIRED,NOT IN LABOUR FORCE,NOT IN LABOUR FORCE,TEACHERS'ASSO,BLACK,BLACK,BLACK,INAP,NON-HISPANIC,RACE/ETH DISCRIMINA,YES,RACE/ETH DISCRIMINA,GOVT ACTION REQD,ALL LEVELS OF GOVT,INAP,NO,INAP,INAP,INAP,INAP,INAP,YES,BLACKS,MEXI-AMS/HISPANICS,DK/NA,INAP,YES,WHITES,DK/NA,INAP,INAP,MOST ARE,INAP,NO,INAP,WON'T CHANGE MUCH,OPPOSE,FAVOR,OPPOSE,NO OPINION,FAVOR,FAVOR,OPPOSE,OPPOSE,FAVOR,OPPOSE,OPPOSE,OPPOSE,ALWAYS ONE'S CHOICE,U.S.,YES,INAP,INAP,INAP,INAP,INAP,100,INAP,TX,INAP,YES,INAP,INAP,15,OWN,"LESS THAN $10,000",MONDALE,IMPORTANT,MALE,VERY GOOD,VERY HIGH,COMPLETELY SINCERE,US-BORN PARENTS,NO,ENG LANG INTERVIEWS,NO
653,619460,80,73,H,3107,HIGH PERCENTAGE BLACK,HISPANIC SURNAME,YES,REGISTERED,REPUBLICAN,NO,NO,NO,NO,WEAK REPUBLICAN,NEVER,NEVER,YES,DRUGS,CRIME,CATHOLIC,NOT PROTESTANT,0,HIGH SCHOOL GRAD,SINGLE,YES,1 CHILD,NO CHILDREN,INAP,RESPONDENT,INAP,HOUSEWIFE,INAP,INAP,NO,INAP,INAP,INAP,INAP,HOUSEWIFE,NOT IN LABOUR FORCE,NOT IN LABOUR FORCE,NO,OTHER,MEXICAN,HISPANIC,INAP,MEXICAN,UNEMPLOYMENT,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,YES,DK/NA,MEXI-AMS/HISPANICS,BLACKS,DK/NA,YES,ASIAN AMERICANS,DK/NA,INAP,INAP,MOST ARE,INAP,YES,SOCIAL SITUATION,LESS PREJUDICED,OPPOSE,FAVOR,FAVOR,OPPOSE,FAVOR,OPPOSE,FAVOR,FAVOR,OPPOSE,OPPOSE,FAVOR,FAVOR,ONLY IF RAPE/INCEST,U.S.,YES,INAP,INAP,INAP,INAP,INAP,100,INAP,CA,BEFORE THAT,INAP,INAP,INAP,63,RENT/DO NOT OWN,"$10,000-15,000",MONDALE,IMPORTANT,FEMALE,GOOD,FAIRLY HIGH,USUALLY SINCERE,US-BORN PARENTS,NO,ENG LANG INTERVIEWS,NO
654,415635,65,1,N,4094,HIGH PERCENTAGE BLACK,OTHER,YES,REGISTERED,DEMOCRAT,NO,NO,NO,NO,WEAK DEMOCRAT,SELDOM,NEVER,NO,0,INAP,PROTESTANT,EVANGELICAL,BAPTIST,SOME COLLEGE,SINGLE,NO,INAP,INAP,INAP,RESPONDENT,INAP,RETIRED,INAP,INAP,NO,INAP,INAP,INAP,INAP,RETIRED,NOT IN LABOUR FORCE,NOT IN LABOUR FORCE,NO,AMERICAN INDIAN,AMERICAN INDIAN,OTHER/W ASIAN/AM IND,INAP,NON-HISPANIC,DK/NA,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,DK/NA,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,MOST ARE,INAP,NO,INAP,WON'T CHANGE MUCH,OPPOSE,FAVOR,OPPOSE,FAVOR,FAVOR,NO OPINION,FAVOR,NO OPINION,NO OPINION,FAVOR,NO OPINION,NO OPINION,ALWAYS ONE'S CHOICE,U.S.,YES,INAP,INAP,INAP,INAP,INAP,100,INAP,ID,INAP,NO,INAP,INAP,22,RENT/DO NOT OWN,DK/NA,MONDALE,IMPORTANT,MALE,GOOD,FAIRLY HIGH,USUALLY SINCERE,US-BORN PARENTS,NO,ENG LANG INTERVIEWS,NO
655,213726,66,37,H,530002,0,HISPANIC SURNAME,YES,REGISTERED,DEMOCRAT,NO,NO,NO,NO,WEAK DEMOCRAT,NEVER,NEVER,YES,DUMPS ENVIRONMENT,"POLLUTION, LITTER",CATHOLIC,NOT PROTESTANT,0,HIGH SCHOOL GRAD,MARRIED,YES,2 CHILDREN,2 CHILDREN,WILL GO,RESPONDENT,INAP,WORKING,MANAGERIAL,NO,NO,INAP,INAP,INAP,INAP,WORKING,MANAGERIAL,NO,NO,ASIAN,FILIPINO,ASIAN-AMERICAN,FILIPINO,NON-HISPANIC,UNEMPLOYMENT,YES,RACE/ETH DISCRIMINA,NO GOVT ACTION REQD,INAP,INDIVIDUALS,YES,RELI PEOPLE,POVERTY INEQUALITY,NO GOVT ACTION REQD,INAP,GROUP WORK TOGETHER,YES,AMERICAN INDIANS,ASIAN AMERICANS,MEXI-AMS/HISPANICS,DK/NA,YES,UPPER/MIDDLE CLASS,JEWS,DK/NA,INAP,SOME ARE,NO PARTICULAR GRP,NO,INAP,WON'T CHANGE MUCH,FAVOR,FAVOR,OPPOSE,NO OPINION,NO OPINION,NO OPINION,NO OPINION,FAVOR,OPPOSE,NO OPINION,FAVOR,OPPOSE,ALWAYS ONE'S CHOICE,U.S.,NO,PILIPPINES,PILIPPINES,INAP,INAP,INAP,100,INAP,CA,PARENTS,INAP,INAP,INAP,54,OWN,"$40,000-60,000",REAGAN,IMPORTANT,FEMALE,VERY GOOD,AVERAGE,COMPLETELY SINCERE,NON-US BORN PARENTS,NO,ENG LANG INTERVIEWS,NO
656,415878,85,81,K,601602,0,ASIAN SURNAME,YES,REGISTERED,DEMOCRAT,NO,NO,NO,NO,STRONG DEMOCRAT,NEVER,NEVER,NO,0,INAP,PROTESTANT,NOT EVANGELICAL,LUTHERAN,COMPLETED COLLEGE,MARRIED,YES,1 CHILD,NO CHILDREN,INAP,RESPONDENT,INAP,WORKING,SALES,NO,UNION,INAP,INAP,INAP,INAP,WORKING,SALES,NO,UNION,WHITE,SWEDISH,WHITE,INAP,NON-HISPANIC,UNEMPLOYMENT,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,YES,DK/NA,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,INAP,INAP,INAP,INAP,OPPOSE,FAVOR,OPPOSE,OPPOSE,FAVOR,OPPOSE,FAVOR,FAVOR,OPPOSE,FAVOR,OPPOSE,OPPOSE,ALWAYS ONE'S CHOICE,U.S.,YES,INAP,INAP,INAP,INAP,INAP,100,INAP,CA,PARENTS,INAP,INAP,INAP,56,OWN,DK/NA,MONDALE,IMPORTANT,MALE,GOOD,FAIRLY HIGH,USUALLY SINCERE,US-BORN PARENTS,NO,ENG LANG INTERVIEWS,NO
657,209948,86,77,N,8,HIGH PERCENTAGE BLACK,OTHER,NO,REGISTERED,DEMOCRAT,NO,NO,NO,NO,WEAK DEMOCRAT,NEVER,NEVER,NO,0,INAP,PROTESTANT,EVANGELICAL,BAPTIST,0-8 YEARS,WIDOWED,NO,INAP,INAP,INAP,RESPONDENT,INAP,RETIRED,INAP,INAP,NO,INAP,INAP,INAP,INAP,RETIRED,NOT IN LABOUR FORCE,NOT IN LABOUR FORCE,NO,BLACK,BLACK,BLACK,INAP,NON-HISPANIC,DK/NA,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,YES,BLACKS,DK/NA,INAP,INAP,NO,INAP,INAP,INAP,INAP,MOST ARE,INAP,YES,DK/NA,WON'T CHANGE MUCH,DK/NA,FAVOR,NO OPINION,FAVOR,FAVOR,DK/NA,DK/NA,DK/NA,DK/NA,DK/NA,DK/NA,DK/NA,DK/NA,U.S.,YES,INAP,INAP,INAP,INAP,INAP,100,INAP,AR,INAP,YES,INAP,INAP,4,OWN,DK/NA,INAP,DK/NA,FEMALE,VERY GOOD,FAIRLY LOW,COMPLETELY SINCERE,US-BORN PARENTS,NO,ENG LANG INTERVIEWS,NO
658,213567,56,37,N,2428,HIGH PERCENTAGE BLACK,OTHER,YES,REGISTERED,DEMOCRAT,NO,NO,NO,NO,WEAK DEMOCRAT,NEVER,NEVER,NO,0,INAP,PROTESTANT,EVANGELICAL,PENTECOSTAL,SOME HIGH SCHOOL,MARRIED,YES,1 CHILD,NO CHILDREN,INAP,RESPONDENT,INAP,HOUSEWIFE,INAP,INAP,NO,INAP,INAP,INAP,INAP,HOUSEWIFE,NOT IN LABOUR FORCE,NOT IN LABOUR FORCE,NO,BLACK,BLACK,BLACK,INAP,NON-HISPANIC,DK/NA,DK/NA,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,YES,DK/NA,INAP,INAP,INAP,DK/NA,INAP,INAP,INAP,INAP,DK/NA,INAP,DK/NA,INAP,DK/NA,DK/NA,DK/NA,DK/NA,FAVOR,FAVOR,FAVOR,FAVOR,OPPOSE,DK/NA,DK/NA,FAVOR,DK/NA,SHD NEVER BE PERMTD,U.S.,YES,INAP,INAP,INAP,INAP,INAP,100,INAP,LA,INAP,YES,INAP,INAP,10,RENT/DO NOT OWN,"LESS THAN $10,000",DK/NA,IMPORTANT,FEMALE,GOOD,VERY LOW,COMPLETELY SINCERE,US-BORN PARENTS,NO,ENG LANG INTERVIEWS,NO
659,415489,49,1,N,440305,0,OTHER,YES,REGISTERED,REPUBLICAN,YES,NO,NO,NO,LEANING REPUBLICAN,SELDOM,SELDOM,YES,SCHOOL PROBS,EDUCATION,PROTESTANT,NOT EVANGELICAL,PROT. IN GNERAL,SOME COLLEGE,MARRIED,YES,3 CHILDREN,DK/NA,INAP,SOMEONE ELSE,HUSBAND,INAP,INAP,INAP,INAP,WORKING,PROF/TECHNICAL,NO,UNION,WORKING,PROF/TECHNICAL,NO,UNION,WHITE,NO ETHNIC/NAT ID,NOT ASCERTAINED,INAP,NON-HISPANIC,HIGH COST OF LIVING,NO,INAP,INAP,INAP,INAP,YES,DK/NA,DK/NA,DK/NA,INAP,INAP,MAYBE/DEPENDS,DK/NA,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,DK/NA,INAP,DK/NA,INAP,DK/NA,NO OPINION,NO OPINION,NO OPINION,NO OPINION,NO OPINION,NO OPINION,NO OPINION,NO OPINION,NO OPINION,NO OPINION,NO OPINION,NO OPINION,DK/NA,DK/NA,INAP,INAP,INAP,DK/NA,DK/NA,DK/NA,100,DK/NA,ZZ,INAP,DK/NA,INAP,INAP,100,DK/NA,DK/NA,DK/NA,DK/NA,FEMALE,FAIR,AVERAGE,PERHAPS INSINCERE,DK/NA,DK/NA,ENG LANG INTERVIEWS,DK/NA
660,213564,56,37,H,2428,HIGH PERCENTAGE BLACK,HISPANIC SURNAME,NO,NOT REGISTERED,INAP,NO,NO,NO,NO,INDEPENDENT,NEVER,NEVER,NO,0,INAP,CATHOLIC,NOT PROTESTANT,0,0-8 YEARS,MARRIED,YES,MORE THAN 5 CHILDREN,NO CHILDREN,INAP,RESPONDENT,INAP,WORKING,CRAFTSMEN,NO,NO,INAP,INAP,INAP,INAP,WORKING,CRAFTSMEN,NO,NO,OTHER,MEXICAN,HISPANIC,INAP,MEXICAN,DK/NA,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,MOST ARE NOT,INAP,NO,INAP,DK/NA,OPPOSE,FAVOR,FAVOR,FAVOR,FAVOR,NO OPINION,OPPOSE,NO OPINION,FAVOR,OPPOSE,FAVOR,FAVOR,ONLY IF RAPE/INCEST,MEXICO,INAP,INAP,INAP,YES,NO,DK/NA,49,NOT CITIZEN,ZZ,INAP,DK/NA,SPANISH,INAP,23,OWN,"$10,000-15,000",INAP,IMPORTANT,MALE,VERY GOOD,AVERAGE,COMPLETELY SINCERE,NON-US BORN,YES,ENG LANG INTERVIEWS,YES
661,213569,56,37,H,5355,0,HISPANIC SURNAME,NO,NOT REGISTERED,INAP,NO,NO,NO,NO,WEAK DEMOCRAT,NEVER,NEVER,NO,0,INAP,CATHOLIC,NOT PROTESTANT,0,HIGH SCHOOL GRAD,SINGLE,NO,INAP,INAP,INAP,RESPONDENT,INAP,WORKING,SERVICE WORKER,NO,NO,INAP,INAP,INAP,INAP,WORKING,SERVICE WORKER,NO,NO,OTHER,MEXICAN,HISPANIC,INAP,MEXICAN,UNEMPLOYMENT,YES,UNEMPLOYMENT,GOVT ACTION REQD,ALL LEVELS OF GOVT,INAP,NO,INAP,INAP,INAP,INAP,INAP,DK/NA,INAP,INAP,INAP,INAP,DK/NA,INAP,INAP,INAP,INAP,SOME ARE,NO PARTICULAR GRP,YES,SOCIAL SITUATION,WON'T CHANGE MUCH,OPPOSE,FAVOR,OPPOSE,FAVOR,OPPOSE,OPPOSE,OPPOSE,OPPOSE,FAVOR,FAVOR,OPPOSE,OPPOSE,ALWAYS ONE'S CHOICE,MEXICO,INAP,INAP,INAP,YES,YES,WILL STAY IN U.S.,71,NOT CITIZEN,ZZ,INAP,DK/NA,SPANISH,INAP,65,RENT/DO NOT OWN,DK/NA,INAP,IMPORTANT,MALE,VERY GOOD,FAIRLY HIGH,COMPLETELY SINCERE,NON-US BORN,YES,ENG LANG INTERVIEWS,YES
662,213672,68,37,H,6016,0,HISPANIC SURNAME,NO,NOT REGISTERED,INAP,NO,NO,NO,NO,DK/NA,NEVER,NEVER,NO,0,INAP,CATHOLIC,NOT PROTESTANT,0,SOME COLLEGE,SINGLE,NO,INAP,INAP,INAP,SOMEONE ELSE,SISTER,INAP,INAP,INAP,INAP,WORKING,CLERICAL,NO,NO,WORKING,CLERICAL,NO,NO,OTHER,MEXICAN,HISPANIC,INAP,MEXICAN,DK/NA,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,YES,DK/NA,INAP,INAP,INAP,YES,DK/NA,INAP,INAP,INAP,MOST ARE NOT,INAP,NO,INAP,WON'T CHANGE MUCH,NO OPINION,NO OPINION,NO OPINION,NO OPINION,NO OPINION,OPPOSE,NO OPINION,NO OPINION,NO OPINION,OPPOSE,OPPOSE,OPPOSE,ONLY IF RAPE/INCEST,MEXICO,INAP,INAP,INAP,YES,NO,MIGHT GO BACK,76,NOT CITIZEN,ZZ,INAP,DK/NA,SPANISH,INAP,63,OWN,"$20,000-25,000",INAP,IMP IF INTEREST AFF,FEMALE,VERY GOOD,FAIRLY LOW,COMPLETELY SINCERE,NON-US BORN,YES,ENG LANG INTERVIEWS,YES
663,408449,81,53,H,2,0,HISPANIC SURNAME,NO,NOT REGISTERED,INAP,NO,NO,NO,NO,WEAK DEMOCRAT,SELDOM,NEVER,NO,0,INAP,CATHOLIC,NOT PROTESTANT,0,HIGH SCHOOL GRAD,SINGLE,NO,INAP,INAP,INAP,RESPONDENT,INAP,WORKING,OPERATIVES,NO,NO,INAP,INAP,INAP,INAP,WORKING,OPERATIVES,NO,NO,WHITE,PORTUGUESE,WHITE,INAP,NON-HISPANIC,FAMILY RELATED,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,YES,WOMEN,DK/NA,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,INAP,INAP,INAP,INAP,FAVOR,FAVOR,FAVOR,FAVOR,FAVOR,FAVOR,OPPOSE,FAVOR,OPPOSE,FAVOR,FAVOR,OPPOSE,ONLY IF RAPE/INCEST,U.S.,YES,INAP,INAP,INAP,INAP,INAP,100,INAP,CA,BEFORE THAT,INAP,INAP,INAP,63,OWN,"$25,000-30,000",INAP,IMPORTANT,MALE,VERY GOOD,AVERAGE,COMPLETELY SINCERE,US-BORN PARENTS,NO,ENG LANG INTERVIEWS,NO
664,213933,56,37,N,2167,HIGH PERCENTAGE BLACK,OTHER,NO,NOT REGISTERED,INAP,NO,NO,NO,NO,STRONG REPUBLICAN,NEVER,NEVER,NO,0,INAP,PROTESTANT,NOT EVANGELICAL,PROT. IN GNERAL,SOME HIGH SCHOOL,WIDOWED,NO,INAP,INAP,INAP,RESPONDENT,INAP,RETIRED,INAP,INAP,NO,INAP,INAP,INAP,INAP,RETIRED,NOT IN LABOUR FORCE,NOT IN LABOUR FORCE,NO,WHITE,GERMAN,WHITE,INAP,NON-HISPANIC,"DRUGS, ALCOHOLISM",NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,YES,DK/NA,STUDENTS,IMMIGRANTS,DK/NA,INAP,INAP,INAP,INAP,INAP,FAVOR,NO OPINION,OPPOSE,NO OPINION,OPPOSE,FAVOR,NO OPINION,FAVOR,OPPOSE,OPPOSE,OPPOSE,OPPOSE,ALWAYS ONE'S CHOICE,U.S.,YES,INAP,INAP,INAP,INAP,INAP,100,INAP,MI,INAP,YES,INAP,INAP,9,OWN,DK/NA,INAP,IMPORTANT,FEMALE,VERY GOOD,FAIRLY HIGH,COMPLETELY SINCERE,US-BORN PARENTS,NO,ENG LANG INTERVIEWS,NO
665,209896,52,19,A,73,0,ASIAN SURNAME,NO,NOT REGISTERED,INAP,NO,NO,NO,NO,DK/NA,SELDOM,NEVER,NO,0,INAP,OTHER,NOT PROTESTANT,0,SOME HIGH SCHOOL,MARRIED,NO,INAP,INAP,INAP,RESPONDENT,INAP,WORKING,LABORER,NO,NO,INAP,INAP,INAP,INAP,WORKING,LABORER,NO,NO,OTHER,INDIAN,ASIAN-AMERICAN,OTHER ASIAN-AMERICAN,NON-HISPANIC,UNEMPLOYMENT,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,DK/NA,INAP,INAP,INAP,INAP,DK/NA,INAP,INAP,INAP,INAP,MOST ARE NOT,INAP,NO,INAP,DK/NA,DK/NA,FAVOR,FAVOR,FAVOR,FAVOR,FAVOR,FAVOR,DK/NA,FAVOR,DK/NA,FAVOR,FAVOR,ONLY IF RAPE/INCEST,ASIA,INAP,INAP,INAP,YES,YES,DK/NA,82,NOT CITIZEN,ZZ,INAP,DK/NA,OTHER,INAP,51,RENT/DO NOT OWN,"$10,000-15,000",INAP,IMPORTANT,MALE,GOOD,AVERAGE,COMPLETELY SINCERE,NON-US BORN,YES,ENG LANG INTERVIEWS,YES
666,415234,65,13,N,3710,0,OTHER,YES,REGISTERED,REPUBLICAN,YES,NO,NO,YES,LEANING REPUBLICAN,SELDOM,NEVER,YES,GUN CONTROL,CRIME,PROTESTANT,EVANGELICAL,PENTECOSTAL,COMPLETED COLLEGE,MARRIED,NO,INAP,INAP,INAP,SOMEONE ELSE,WIFE,INAP,INAP,INAP,INAP,WORKING,CLERICAL,NO,NO,WORKING,CLERICAL,NO,NO,WHITE,ENGLISH,WHITE,INAP,NON-HISPANIC,UNEMPLOYMENT,NO,INAP,INAP,INAP,INAP,YES,OTHER,UNEMPLOYMENT,GOVT ACTION REQD,ALL LEVELS OF GOVT,INAP,YES,BLACKS,DK/NA,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,INAP,INAP,INAP,INAP,FAVOR,FAVOR,OPPOSE,OPPOSE,FAVOR,OPPOSE,OPPOSE,FAVOR,OPPOSE,FAVOR,OPPOSE,OPPOSE,ALWAYS ONE'S CHOICE,U.S.,YES,INAP,INAP,INAP,INAP,INAP,100,INAP,TN,INAP,NO,INAP,INAP,59,RENT/DO NOT OWN,"$25,000-30,000",REAGAN,IMPORTANT,MALE,VERY GOOD,VERY HIGH,COMPLETELY SINCERE,US-BORN PARENTS,NO,ENG LANG INTERVIEWS,NO
